BestLapTime,LapsComplete,Status,PositionStart,DriverID,TeamID,TrackID,TrackType,PositionFinish,,,
01:00.8,109,0,27,9999,5,11,1,24,,,
01:00.0,109,0,13,9999,10,11,1,25,,,
01:00.3,108,0,16,4920,6,11,1,26,,,
01:00.5,107,0,6,9999,7,11,1,27,,,
,0,1,9,3628,4,11,1,28,,,
00:25.6,260,0,3,4215,11,13,0,1,,,
00:25.7,260,0,1,4932,11,13,0,2,,,
00:26.0,260,0,18,9999,4,13,0,3,,,
00:26.2,260,0,16,4931,4,13,0,4,,,
00:26.2,260,0,25,4511,2,13,0,5,,,
00:26.2,259,0,11,4588,8,13,0,6,,,
00:26.3,259,0,20,4915,3,13,0,7,,,
00:26.0,259,0,10,4948,4,13,0,8,,,
00:26.2,259,0,24,4613,1,13,0,9,,,
00:26.6,259,0,12,4614,6,13,0,10,,,
00:26.3,258,0,19,3628,4,13,0,11,,,
00:26.1,258,0,17,4897,1,13,0,12,,,
00:26.7,258,0,9,4218,7,13,0,13,,,
00:26.5,258,0,15,9999,10,13,0,14,,,
00:26.4,257,0,23,4938,10,13,0,15,,,
00:26.1,257,0,6,9999,7,13,0,16,,,
00:26.9,252,0,21,9999,6,13,0,17,,,
00:25.7,250,1,4,3667,11,13,0,18,,,
00:26.3,250,1,13,4587,3,13,0,19,,,
00:26.4,249,1,26,9999,5,13,0,20,,,
00:25.8,238,1,2,4636,8,13,0,21,,,
00:26.6,207,1,5,4623,2,13,0,22,,,
00:26.5,161,1,14,3668,10,13,0,23,,,
00:26.5,151,1,7,4905,2,13,0,24,,,
00:26.6,84,1,22,4944,4,13,0,25,,,
00:26.7,42,1,8,4559,3,13,0,26,,,
00:27.4,7,1,27,9999,5,13,0,27,,,
01:01.6,85,0,1,4511,2,17,2,1,,,
01:01.7,85,0,2,4623,2,17,2,2,,,
01:01.1,85,0,15,3628,4,17,2,3,,,
01:01.4,85,0,18,4931,4,17,2,4,,,
01:01.4,85,0,13,4948,4,17,2,5,,,
01:01.6,85,0,6,4636,8,17,2,6,,,
01:01.6,85,0,16,4938,10,17,2,7,,,
01:01.2,85,0,22,4614,6,17,2,8,,,
01:02.0,85,0,5,9999,7,17,2,9,,,
01:01.8,85,0,8,3668,10,17,2,10,,,
01:01.5,85,0,7,4215,11,17,2,11,,,
